name,movie
Linda DeScenna,Never Surrender: A Galaxy Quest Documentary
Leslie McCarthy-Frankenheimer,The Invasion
Leslie McCarthy-Frankenheimer,Even Money
Leslie McCarthy-Frankenheimer,The Closer
Leslie McCarthy-Frankenheimer,Carnivàle
Leslie McCarthy-Frankenheimer,Face Value
Leslie McCarthy-Frankenheimer,James Dean
Leslie McCarthy-Frankenheimer,Rapid Fire
Leslie McCarthy-Frankenheimer,Blade Runner
Leslie McCarthy-Frankenheimer,One from the Heart
Leslie McCarthy-Frankenheimer,Conquest of the Earth
Leslie McCarthy-Frankenheimer,The Blues Brothers
Tom Southwell,The Disappointments Room
Tom Southwell,Freaky Deaky
Tom Southwell,I Am Number Four
Tom Southwell,Disturbia
Tom Southwell,Two for the Money
Tom Southwell,Taking Lives
Tom Southwell,Star Trek: Nemesis
Tom Southwell,The Salton Sea
Tom Southwell,Mighty Joe Young
Tom Southwell,Black Cat Run
Tom Southwell,Eraser
Tom Southwell,Congo
Tom Southwell,City Slickers
Tom Southwell,Made in U.S.A.
Tom Southwell,The Man with One Red Shoe
Tom Southwell,The Adventures of Buckaroo Banzai Across the 8th Dimension
Tom Southwell,Blade Runner
Tom Southwell,Executive Decision
Mentor Huebner,Daylight
Mentor Huebner,So I Married an Axe Murderer
Mentor Huebner,Cat's Eye
Mentor Huebner,My Favorite Year
Mentor Huebner,The Thing
Mentor Huebner,Blade Runner
Mentor Huebner,Hurricane
Mentor Huebner,Looking for Mr. Goodbar
Mentor Huebner,The Prisoner of Second Avenue
Mentor Huebner,The Man Who Loved Cat Dancing
Mentor Huebner,Julius Caesar
Mentor Huebner,The Liberation of L.B. Jones
Mentor Huebner,Generation
Mentor Huebner,North by Northwest
Mentor Huebner,The Tunnel of Love
Mentor Huebner,Hit the Deck
Mentor Huebner,Executive Suite
Mentor Huebner,The Last Time I Saw Paris
Mentor Huebner,Take the High Ground!
Mentor Huebner,The Naked Spur
Mentor Huebner,Undercurrent
Mentor Huebner,The Shop Around the Corner
Terry E. Lewis,Real Genius
Terry E. Lewis,Terms of Endearment
Terry E. Lewis,Blade Runner
Terry E. Lewis,North Dallas Forty
Terry E. Lewis,The China Syndrome
Terry E. Lewis,Murder by Death
Terry E. Lewis,One Flew Over the Cuckoo's Nest
Sherman Labby,Mercury Rising
Sherman Labby,U.S. Marshals
Sherman Labby,Space Jam
Sherman Labby,Congo
Sherman Labby,1492: Conquest of Paradise
Sherman Labby,Lethal Weapon 2
Sherman Labby,Beverly Hills Cop II
Sherman Labby,The Money Pit
Sherman Labby,The Adventures of Buckaroo Banzai Across the 8th Dimension
Sherman Labby,Blade Runner
Sherman Labby,Archie and His New Pals
Sherman Labby,Startime: Turn of the Screw
Sherman Labby,The Youth Who Wanted to Shiver
Sherman Labby,Oliver Twist
Lawrence G. Paull,Escape from L.A.
Lawrence G. Paull,Sgt. Bilko
Lawrence G. Paull,Naked Gun 33⅓: The Final Insult
Lawrence G. Paull,Born Yesterday
Lawrence G. Paull,Unlawful Entry
Lawrence G. Paull,Memoirs of an Invisible Man
Lawrence G. Paull,City Slickers
Lawrence G. Paull,Predator 2
Lawrence G. Paull,The Last of the Finest
Lawrence G. Paull,License to Drive
Lawrence G. Paull,Cross My Heart
Lawrence G. Paull,Project X
Lawrence G. Paull,American Flyers
Lawrence G. Paull,Back to the Future
Lawrence G. Paull,Romancing the Stone
Lawrence G. Paull,Doctor Detroit
Lawrence G. Paull,Blade Runner
Lawrence G. Paull,Rehearsal for Murder
Lawrence G. Paull,Friendly Fire
Lawrence G. Paull,How to Beat the High Cost of Living
Lawrence G. Paull,FM
Lawrence G. Paull,Blue Collar
Lawrence G. Paull,The Storyteller
Lawrence G. Paull,Tail Gunner Joe
Lawrence G. Paull,W.W. and the Dixie Dancekings
Lawrence G. Paull,Terror on the 40th Floor
Lawrence G. Paull,The Stranger Who Looks Like Me
Lawrence G. Paull,The Last American Hero
Lawrence G. Paull,They Only Kill Their Masters
Lawrence G. Paull,Heat of Anger
Lawrence G. Paull,Second Chance
Lawrence G. Paull,She Waits
Lawrence G. Paull,Star Spangled Girl
Lawrence G. Paull,Chandler
Lawrence G. Paull,Murder Once Removed
Lawrence G. Paull,A Tattered Web
Lawrence G. Paull,Bury Me an Angel
